ZCR,RMS,Centroide,Ancho_Banda,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,Etiqueta
0.3998867603058511,0.031594984,3420.466621203299,2153.9243656902395,-254.38885,18.465792,-6.377896,11.862448,0.8520029,-10.591439,-3.6911695,-3.5596268,-2.6835992,-1.5068251,-2.4546592,-1.789155,-3.0068789,-3.2471163,-4.069445,-2.7687917,-3.3627868,-3.4698396,-1.8385248,-2.1099114,berenjena
0.2437718168218085,0.020228816,2492.191541900962,1922.3034570395403,-492.63077,43.574963,-17.742662,16.689106,-11.244213,-14.815852,-5.0065885,-8.596142,-1.494054,-8.47723,-6.5363503,-8.470305,-10.04969,-8.576328,-9.795438,-6.354957,-8.062708,-2.5417066,-5.163424,-2.005997,berenjena
0.2254145196143617,0.019059982,2213.8817117612675,1735.121335287039,-514.3838,60.349052,-20.591295,18.52169,3.9095316,-10.195104,-9.310938,-3.5448923,-10.226384,3.366964,-9.448331,0.89807314,-7.96582,-3.9799263,-8.559875,-8.168627,-7.5177035,-8.21738,-7.81313,-6.629759,berenjena
0.24437341024709303,0.018497055,2523.4528632449915,1944.362378631248,-509.9683,51.251694,-18.528942,16.711163,-2.0971642,-15.960588,-5.1006184,-8.895776,-3.5149753,-2.6834671,-7.851595,-3.0798798,-9.997599,-5.544903,-10.809689,-6.5153646,-9.544238,-6.6044602,-6.1287932,-4.164833,berenjena
0.22691127232142858,0.019709785,2495.9585178830507,1949.2144243099156,-509.43814,50.773613,-17.274618,17.54926,-1.5296618,-15.1784725,-4.376118,-8.5209255,-3.623632,-3.076133,-7.8489494,-3.533415,-11.122093,-6.5866213,-11.778622,-6.922993,-9.941218,-6.816575,-6.6487727,-4.623395,berenjena
0.4049098238031915,0.02944954,3480.365755572672,2148.325726973873,-255.73247,15.238734,-8.078049,11.70245,-0.24333695,-9.7535305,-2.3371458,-4.2900996,-2.152967,-1.3373163,-4.2883496,-2.476018,-2.7014167,-2.727845,-4.4029403,-2.571185,-2.2621636,-3.8434916,-2.0893378,-1.0702395,berenjena
0.25953187333776595,0.016880581,2624.5548675373298,1998.9994638528149,-540.83606,43.05548,-15.296119,16.238363,-12.990378,-13.665135,-3.9825828,-8.492765,-1.278448,-9.182832,-7.3734584,-7.662483,-8.828593,-9.335806,-8.92161,-5.3310122,-10.080045,-4.401553,-5.478263,-4.9737573,berenjena
0.24311211768617022,0.018386304,2338.822182848939,1820.1570664736983,-531.3382,52.819008,-18.5806,18.981577,1.9467249,-10.453095,-8.847804,-3.4883854,-10.10122,4.041063,-10.135694,-0.7887133,-8.51298,-1.7492219,-7.4398007,-6.271617,-5.3426986,-4.6073685,-7.9738913,-4.725831,berenjena
0.25621139171511625,0.018349152,2635.646874106832,2032.3367393360065,-525.5391,44.213474,-15.048619,16.822027,-3.6479564,-16.09061,-3.9426496,-9.465683,-2.718677,-3.360584,-8.282769,-3.9582193,-8.029661,-5.107297,-10.852292,-4.8316913,-7.004276,-7.604111,-5.6485887,-3.828165,berenjena
0.2523902529761905,0.018016096,2628.076804774643,2026.7324424547762,-535.87494,45.511852,-14.222511,16.584942,-3.0084617,-15.43148,-3.5381327,-9.127267,-2.6838634,-3.7550604,-8.672745,-4.4239664,-8.496992,-4.79617,-10.521648,-5.1872134,-8.140921,-7.671891,-5.6762996,-3.9832096,berenjena
